country,continent,year,pop,gdpPercap,co2_pp
Afghanistan,Asia,1992,16317921,649.3413952,0.056826618
Afghanistan,Asia,1992,16317921,649.3413952,0.1632953
Afghanistan,Asia,1992,16317921,649.3413952,0.062588034
Afghanistan,Asia,1992,16317921,649.3413952,0.29650624
Afghanistan,Asia,1992,16317921,649.3413952,0.068467956
Afghanistan,Asia,1992,16317921,649.3413952,0.172896741
Afghanistan,Asia,1992,16317921,649.3413952,0.131694556
Afghanistan,Asia,1992,16317921,649.3413952,0.041655394
Afghanistan,Asia,1992,16317921,649.3413952,0.060418781
Afghanistan,Asia,1992,16317921,649.3413952,0.243614036
Afghanistan,Asia,1992,16317921,649.3413952,0.052690856
Afghanistan,Asia,1992,16317921,649.3413952,0.259295334
Afghanistan,Asia,1992,16317921,649.3413952,0.08472111
Afghanistan,Asia,1992,16317921,649.3413952,0.18562366
Afghanistan,Asia,1992,16317921,649.3413952,0.128416559
Afghanistan,Asia,1992,16317921,649.3413952,0.159824372
Afghanistan,Asia,1992,16317921,649.3413952,0.149789334
Afghanistan,Asia,1992,16317921,649.3413952,0.03378536
Afghanistan,Asia,1992,16317921,649.3413952,0.171862421
Afghanistan,Asia,1992,16317921,649.3413952,0.040156965
Afghanistan,Asia,1992,16317921,649.3413952,0.036573704
Afghanistan,Asia,1992,16317921,649.3413952,0.051518377
Afghanistan,Asia,1992,16317921,649.3413952,0.075545827
Afghanistan,Asia,1992,16317921,649.3413952,0.065312346
Afghanistan,Asia,1992,16317921,649.3413952,0.066583291
Afghanistan,Asia,1992,16317921,649.3413952,0.191745115
Afghanistan,Asia,1992,16317921,649.3413952,0.045573659
Afghanistan,Asia,1992,16317921,649.3413952,0.146235617
Afghanistan,Asia,1992,16317921,649.3413952,0.095957742
Afghanistan,Asia,1992,16317921,649.3413952,0.167681579
Afghanistan,Asia,2002,25268405,726.7340548,0.056826618
Afghanistan,Asia,2002,25268405,726.7340548,0.1632953
Afghanistan,Asia,2002,25268405,726.7340548,0.062588034
Afghanistan,Asia,2002,25268405,726.7340548,0.29650624
Afghanistan,Asia,2002,25268405,726.7340548,0.068467956
Afghanistan,Asia,2002,25268405,726.7340548,0.172896741
Afghanistan,Asia,2002,25268405,726.7340548,0.131694556
Afghanistan,Asia,2002,25268405,726.7340548,0.041655394
Afghanistan,Asia,2002,25268405,726.7340548,0.060418781
Afghanistan,Asia,2002,25268405,726.7340548,0.243614036
Afghanistan,Asia,2002,25268405,726.7340548,0.052690856
Afghanistan,Asia,2002,25268405,726.7340548,0.259295334
